outcome,Grader 1_score,Grader 2_score,count,proportion,exact_agreement
depth,0,0,59,0.23046875,True
depth,0,1,4,0.015625,False
depth,0,2,2,0.0078125,False
depth,0,3,0,0.0,False
depth,0,4,0,0.0,False
depth,1,0,28,0.109375,False
depth,1,1,66,0.2578125,True
depth,1,2,8,0.03125,False
depth,1,3,0,0.0,False
depth,1,4,0,0.0,False
depth,2,0,2,0.0078125,False
depth,2,1,16,0.0625,False
depth,2,2,29,0.11328125,True
depth,2,3,1,0.00390625,False
depth,2,4,0,0.0,False
depth,3,0,0,0.0,False
depth,3,1,2,0.0078125,False
depth,3,2,11,0.04296875,False
depth,3,3,22,0.0859375,True
depth,3,4,2,0.0078125,False
depth,4,0,0,0.0,False
depth,4,1,0,0.0,False
depth,4,2,1,0.00390625,False
depth,4,3,1,0.00390625,False
depth,4,4,2,0.0078125,True
