condition,score,count,proportion,outcome
0,0,55,0.24553571428571427,depth
0,1,90,0.4017857142857143,depth
0,2,49,0.21875,depth
0,3,29,0.12946428571428573,depth
0,4,1,0.004464285714285714,depth
1,0,99,0.34375,depth
1,1,100,0.3472222222222222,depth
1,2,50,0.1736111111111111,depth
1,3,32,0.1111111111111111,depth
1,4,7,0.024305555555555556,depth
0,0,54,0.24107142857142858,extent
0,1,121,0.5401785714285714,extent
0,2,44,0.19642857142857142,extent
0,3,5,0.022321428571428572,extent
0,4,0,0.0,extent
1,0,98,0.3402777777777778,extent
1,1,120,0.4166666666666667,extent
1,2,56,0.19444444444444445,extent
1,3,11,0.03819444444444445,extent
1,4,3,0.010416666666666666,extent
